Ville,Hotel,Start,Description,price,Logement
    Djerba    ,      EL MOURADI DJERBA MENZEL    ,"<img src=""images/etoile/stars_4.png""/>","
      Par sa taille, sa situation et ses équipements, le Djerba Menzel est une adresse tout à fait recommandable, aussi bien aux couples quaux familles ave      ... 
","
      117.400TND","
        Logement petit déjeuner      "
    Tozeur     ,      PALM BEACH PALACE TOZEUR    ,"<img src=""images/etoile/stars_5.png""/>","
      Situé près de l'oasis de Tozeur, ce prestigieux établissement offre un cadre agréable, orné de jardins fleuris. À seulement 4 km de l'aéroport et 3 km      ... 
","
      704.400TND
","
"
    Korba    ,      AFRICA JADE THALASSO    ,"<img src=""images/etoile/stars_4.png""/>","
      L\\\'Africa Jade Thalasso Korba est un hôtel de charme situé à Korba, au cur de la région du cap bon. L\\\'hôtel, joyau africain dans un immense écri      ... 
","
      0.000Euro","
"
    Tozeur     ,      HOTEL KSAR ROUGE    ,"<img src=""images/etoile/stars_4.png""/>","
      Aux portes du Sahara tunisien, sur les hauteurs de l'oasis de Tozeur ( 300 000 palmiers dattiers), surplombant la palmeraie et le grand lac salé (ou C      ... 
","
      0.000Euro
","
"
    Sousse    ,      Residence Kantaoui    ,"<img src=""images/etoile/stars_4.png""/>","
      ésidence Kantaoui est un joli petit hôtel de 125 chambres réparties sur 2 étages au centre de la station Port El Kantaoui. Noyé dans un jardin gazonné      ... 
","
      0.000Euro","
        Logement petit déjeuner      "
    Hammamet Sud    ,      MENARA    ,"<img src=""images/etoile/stars_4.png""/>","
      L'hôtel Menara est situé en plein cur de la partie sud de la station balnéaire d'Hammamet.

Les chambres climatisées sont confortables et offrent u      ... 
","
      0.000Euro
","
        Logement petit déjeuner      "
    Hammamet Nord    ,      HOTEL CLUB EL FELL    ,"<img src=""images/etoile/stars_3.png""/>","
      L'hôtel-club se situe dans la zone touristique d'Hammamet Nord, à 1 heure de route environ des aéroports de Tunis, d'Enfidha et de Monastir. Au cur d      ... 
","
      38.400TND","
        Logement petit déjeuner      "
    Hammamet Sud    ,      MARINA PALACE    ,"<img src=""images/etoile/stars_4.png""/>","
      Situé dans la nouvelle station touristique ""Yasmine Hammamet"", au coeur du port de plaisance, l'hôtel Marina Palace, offre toutes les commodités pour       ... 
","
      230.400TND
","
        Logement petit déjeuner      "
    Hammamet Nord    ,      HOTEL CLUB LES COLOMBES    ,"<img src=""images/etoile/stars_3.png""/>","
      L'hotel Les Colombes est situé sur la côte de Hammamet nord à 10 minutes de la ville de Nabeul, capitale de la poterie et 10 minutes du centre ville d      ... 
","
      43.200TND","
        Logement petit déjeuner      "
    Sousse    ,      MARHABA CLUB    ,"<img src=""images/etoile/stars_4.png""/>","
      Classé 4 étoiles, l'Hôtel Marhaba Club est entièrement dédié à anticiper vos besoins et satisfaire vos attentes.

Référencé par la prestigieuse chaî      ... 
","
      259.200TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      HOUDA YASMINE HAMMAMET    ,"<img src=""images/etoile/stars_4.png""/>","
      En face du port de plaisance, il offre un confort très actuel et un luxe discret permettant davoir des vacances de toute détente dans une ambiance tr      ... 
","
      46.250TND","
        Logement petit déjeuner      "
    Tabarka    ,      HOTEL LES MIMOSAS    ,"<img src=""images/etoile/stars_3.png""/>","
      Les Mimosas, cet hôtel de charme classé 3 *, situé à Tabarka dans un 
site panoramique exceptionnel ressemble à un vieux château au caractère 
éléga      ... 
","
      277.500TND
","
        Logement petit déjeuner      "
    Nabeul    ,      Byzance Nabeul    ,"<img src=""images/etoile/stars_3.png""/>","
      Symbole d'une civilisation millénaire, l'hôtel Byzance a su recréer le charme, l'élégance et l'authenticité d'un empire rayonnant, dans un décor fait       ... 
","
      48.000TND","
        Logement petit déjeuner      "
    Monastir    ,      Amir Palace    ,"<img src=""images/etoile/stars_4.png""/>","
      L'Amir Palace vous accueille à Skanes, dans la région de Monastir, à quelques minutes de l'aéroport international de Monastir Habib-Bourguiba.      ... 
","
      288.000TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      LA RESIDENCE HAMMAMET    ,"<img src=""images/etoile/stars_3.png""/>","
      Situé au centre-ville d'Hammamet, l'hôtel La Residence Hammamet se trouve à 100 mètres d'une plage de sable fine au bord de la mer Méditerranée. C'est      ... 
","
      48.000TND","
        Logement petit déjeuner      "
